item,type,source_path_or_command,classification,priority,confidence,note
Perplexity,app,/Applications/Perplexity.app,KEEP_LATER,optional,medium,Optional research app.
GPG Keychain,app,/Applications/GPG Keychain.app,KEEP_LATER,important,high,Companion for gpg workflows.
Gambler.Bot,app,~/Applications/Gambler.Bot.app,KEEP_LATER,optional,medium,Custom app; intent unknown.
Greptile Fix,app,~/Applications/Greptile Fix.app,KEEP_LATER,optional,low,Version unknown and role unclear.
Claude Code URL Handler,app,~/Applications/Claude Code URL Handler.app,KEEP_NOW,important,medium,Likely integration helper for claude deep links.
codexbar-intel,app,brew cask list,KEEP_LATER,optional,medium,Also appears as CodexBar app with version mismatch.
repobar cask,app,brew cask list,KEEP_LATER,optional,high,Matches RepoBar app family.
dotnet-sdk,runtime,brew cask list,KEEP_LATER,optional,high,Installed SDK not referenced elsewhere.
metasploit,cli,brew cask list,KEEP_LATER,optional,high,Security toolkit optional.
font-hack-nerd-font,config,brew cask list,KEEP_LATER,optional,high,Terminal/editor font dependency.
font-meslo-lg-nerd-font,config,brew cask list,KEEP_LATER,optional,high,Powerlevel10k font dependency.
zsh shell,config,$SHELL output,KEEP_NOW,critical,high,Default interactive shell.
oh-my-zsh,config,shell tooling section,KEEP_NOW,important,high,Shell framework present.
powerlevel10k,config,shell tooling section,KEEP_NOW,important,high,Prompt configuration present.
starship,cli,brew leaves,KEEP_LATER,optional,high,Alternate prompt tooling.
~/.zshrc,config,Shell config files section,KEEP_NOW,critical,high,Primary shell config.
~/.zprofile,config,Shell config files section,KEEP_NOW,important,high,Login shell init.
~/.zshenv,config,Shell config files section,KEEP_NOW,important,high,Global zsh env.
~/.bashrc,config,Shell config files section,KEEP_LATER,optional,high,Bash fallback config.
~/.bash_profile,config,Shell config files section,KEEP_LATER,optional,high,Bash login fallback config.
/usr/local/bin/code launcher,cli,Editor launcher section,KEEP_NOW,critical,high,Key editor command currently mapped.
/usr/local/bin/windsurf launcher,cli,Editor launcher section,KEEP_NOW,important,high,Secondary editor command.
code extensions list,state,code --list-extensions,REGENERATE,important,high,Reinstall from list after editor setup.
windsurf extensions list,state,windsurf --list-extensions,REGENERATE,important,high,Reinstall from list after editor setup.
~/AGENTS.md,config,Top-level agent rule files,KEEP_NOW,critical,high,Primary personal rules overlay.
~/.claude/CLAUDE.md,config,Top-level agent rule files,KEEP_NOW,important,high,Claude overlay config.
~/.codex/AGENTS.md,config,Top-level agent rule files,KEEP_NOW,important,high,Codex overlay config.
~/.cursor/rules/gotcha.mdc,config,Top-level agent rule files,KEEP_NOW,important,high,Cursor lean rule file.
~/.cursor/rules/gotcha-full.mdc,config,Top-level agent rule files,KEEP_NOW,important,high,Cursor full rule file.
~/.windsurf/rules/gotcha.md,config,Top-level agent rule files,KEEP_NOW,important,high,Windsurf rule file.
~/.codeium/windsurf/memories/global_rules.md,config,Top-level agent rule files,KEEP_NOW,important,high,Legacy Codeium rules mirror.
~/.claude/settings.json,config,AI footprint notable subpaths,KEEP_NOW,important,high,Claude settings file.
~/.claude/settings.local.json,config,AI footprint notable subpaths,KEEP_NOW,important,high,Machine-local Claude settings.
~/.claude/rules/,config,AI footprint notable subpaths,KEEP_NOW,important,high,Rule set directory.
~/.claude/skills/,config,AI footprint notable subpaths,KEEP_NOW,important,high,Skill library.
~/.claude/agents/,config,AI footprint notable subpaths,KEEP_NOW,important,high,Custom agents directory.
~/.claude/plugins/,config,AI footprint notable subpaths,KEEP_NOW,important,high,Plugin definitions.
~/.claude/projects/,state,AI footprint notable subpaths,REGENERATE,important,high,Project-local runtime metadata is host-generated.
~/.claude/sessions/,state,AI footprint notable subpaths,REGENERATE,optional,high,Session transcripts are runtime history.
~/.claude/history.jsonl,state,AI footprint listing,REGENERATE,optional,high,Runtime interaction history.
~/.claude/session-env/,state,AI footprint listing,REGENERATE,optional,high,Session environment snapshots.
~/.claude/file-history/,state,AI footprint listing,REGENERATE,optional,high,Generated file history cache.
~/.claude/paste-cache/,state,AI footprint listing,REGENERATE,optional,high,Temporary paste artifacts.
~/.claude/cache/,state,AI footprint listing,REGENERATE,optional,high,Cache directory.
~/.claude/shell-snapshots/,state,AI footprint listing,REGENERATE,optional,high,Ephemeral shell snapshots.
~/.claude/backups/,state,AI footprint listing,REGENERATE,optional,medium,Potentially regenerable copies; verify if hand-curated.
~/.claude/tasks/,state,AI footprint listing,REGENERATE,optional,high,Task runtime artifacts.
~/.claude/telemetry/,state,AI footprint listing,REGENERATE,optional,high,Telemetry cache/state.
~/.claude/mcp-needs-auth-cache.json,state,AI footprint listing,REGENERATE,optional,high,Auth cache can be regenerated.
~/.cursor/mcp.json,config,Cursor notable subpaths,KEEP_NOW,critical,high,MCP server configuration.
~/.cursor/hooks.json,config,Cursor listing,KEEP_NOW,important,high,Hook orchestration config.
~/.cursor/cli-config.json,config,Cursor listing,KEEP_NOW,important,high,CLI behavior configuration.
~/.cursor/statusline.sh,config,Cursor listing,KEEP_NOW,important,high,Custom status line script.
~/.cursor/rules/,config,Cursor notable subpaths,KEEP_NOW,important,high,Rule directory.
~/.cursor/skills/,config,Cursor notable subpaths,KEEP_NOW,important,high,Skill set directory.
~/.cursor/skills-cursor/,config,Cursor listing,KEEP_NOW,important,high,Cursor-specific skills.
~/.cursor/agents/,config,Cursor notable subpaths,KEEP_NOW,important,high,Agent definitions.
~/.cursor/hooks/,config,Cursor notable subpaths,KEEP_NOW,important,high,Hook scripts.
~/.cursor/extensions/,config,Cursor notable subpaths,KEEP_NOW,important,high,Extension storage baseline.
~/.cursor/projects/,state,Cursor notable subpaths,REGENERATE,important,high,Workspace runtime metadata and terminals.
~/.cursor/plans/,state,Cursor listing,REGENERATE,optional,high,Generated planning artifacts.
~/.cursor/ai-tracking/,state,Cursor listing,REGENERATE,optional,high,Tracking logs.
~/.cursor/debug-logs/,state,Cursor listing,REGENERATE,optional,high,Debug logs.
~/.cursor/.ruff_cache,state,Cursor listing,REGENERATE,optional,high,Tool cache directory.
~/.cursor/README.md,config,Cursor listing,KEEP_LATER,optional,high,Informational file can be copied later.
~/.codex/config.toml,config,Codex listing,KEEP_NOW,critical,high,Codex core configuration.
~/.codex/rules/,config,Codex notable subpaths,KEEP_NOW,important,high,Codex rules.
~/.codex/skills/,config,Codex notable subpaths,KEEP_NOW,important,high,Codex skills library.
~/.codex/hooks/,config,Codex notable subpaths,KEEP_NOW,important,high,Codex hook scripts.
~/.codex/plugins/,config,Codex notable subpaths,KEEP_NOW,important,high,Codex plugin config.
~/.codex/memories/,config,Codex listing,KEEP_NOW,important,medium,May contain curated memory; verify before pruning.
~/.codex/auth.json,config,Codex listing,DROP,critical,high,NEVER MIGRATE: OAuth/API keys; run codex login on new machine.
~/.codex/models_cache.json,state,Codex listing,REGENERATE,optional,high,Model metadata cache.
~/.codex/cache/,state,Codex listing,REGENERATE,optional,high,General cache directory.
~/.codex/.tmp,state,Codex listing,REGENERATE,optional,high,Temporary files.
~/.codex/tmp,state,Codex listing,REGENERATE,optional,high,Temporary files.
~/.codex/log/,state,Codex listing,REGENERATE,optional,high,Log directory.
~/.codex/logs_2.sqlite,state,Codex listing,REGENERATE,optional,high,Large runtime database.
~/.codex/logs_2.sqlite-shm,state,Codex listing,REGENERATE,optional,high,SQLite transient file.
~/.codex/logs_2.sqlite-wal,state,Codex listing,REGENERATE,optional,high,SQLite WAL file.
~/.codex/state_5.sqlite,state,Codex listing,REGENERATE,optional,high,Runtime state DB.
~/.codex/state_5.sqlite-shm,state,Codex listing,REGENERATE,optional,high,SQLite transient file.
~/.codex/state_5.sqlite-wal,state,Codex listing,REGENERATE,optional,high,SQLite WAL file.
~/.codex/history.jsonl,state,Codex listing,REGENERATE,optional,high,CLI interaction history.
~/.codex/session_index.jsonl,state,Codex listing,REGENERATE,optional,high,Session index state.
~/.codex/sessions/,state,Codex notable subpaths,REGENERATE,optional,high,Session artifacts.
~/.codex/archived_sessions/,state,Codex listing,REGENERATE,optional,high,Archived runtime sessions.
~/.codex/backups/,state,Codex listing,REGENERATE,optional,medium,Backups may include useful data; verify before excluding.
~/.codex/vendor/,state,Codex listing,REGENERATE,optional,high,Vendor runtime assets can be regenerated.
~/.codex/vendor_imports/,state,Codex listing,REGENERATE,optional,high,Generated imports cache.
~/.codex/worktrees/,state,Codex listing,REGENERATE,optional,medium,May hold active worktree references; validate manually.
~/.windsurf/settings.json,config,Windsurf notable subpaths,KEEP_NOW,important,high,Windsurf settings.
~/.windsurf/rules/,config,Windsurf notable subpaths,KEEP_NOW,important,high,Windsurf rules.
~/.windsurf/skills/,config,Windsurf notable subpaths,KEEP_NOW,important,high,Windsurf skills.
~/.windsurf/extensions/,config,Windsurf notable subpaths,KEEP_NOW,important,high,Windsurf extension set.
~/.windsurf/plans/,state,Windsurf listing,REGENERATE,optional,high,Generated planning artifacts.
~/.windsurf/worktrees/,state,Windsurf listing,REGENERATE,optional,high,Runtime worktree metadata.
~/.windsurf/data/,state,Windsurf listing,REGENERATE,optional,high,Application runtime data.
~/.windsurf/context/,state,Windsurf listing,REGENERATE,optional,high,Context cache.
~/.windsurf/args/,state,Windsurf listing,REGENERATE,optional,high,Ephemeral args store.
~/.windsurf/workflows/,config,Windsurf listing,KEEP_LATER,optional,medium,Potentially curated workflows; verify.
~/.codeium/windsurf/skills/,config,Skill counts section,KEEP_NOW,important,high,Legacy skill mirror.
~/.codeium/windsurf/memories/,config,Top-level rules section,KEEP_NOW,important,high,Legacy memory/rule mirror.
~/.codeium/language-server,state,Codeium listing,REGENERATE,optional,high,Legacy language server runtime.
~/.codeium/language_server_v1.48.2,state,Codeium listing,REGENERATE,optional,high,Versioned runtime artifact.
~/.agents/skills/,config,Shared agents section,KEEP_NOW,important,high,Shared cross-editor skills library.
~/.continue/config.json,config,Continue notable subpaths,KEEP_LATER,optional,high,Continue config.
~/.continue/config.yaml,config,Continue listing,KEEP_LATER,optional,high,Continue config with potential secrets.
~/.continue/.env,config,Continue listing,KEEP_LATER,important,low,Sensitive file exists; migrate manually and securely.
~/.continue/agents/,config,Continue notable subpaths,KEEP_LATER,optional,high,Continue agents.
~/.continue/skills/,config,Continue notable subpaths,KEEP_LATER,optional,high,Continue skills.
~/.continue/mcpServers/,config,Continue listing,KEEP_LATER,optional,high,MCP server config for Continue.
~/.continue/sessions/,state,Continue notable subpaths,REGENERATE,optional,high,Runtime session history.
~/.continue/logs/,state,Continue notable subpaths,REGENERATE,optional,high,Runtime logs.
~/.continue/index/,state,Continue listing,REGENERATE,optional,high,Generated indexes/cache.
~/.continue/dev_data/,state,Continue listing,REGENERATE,optional,high,Runtime data.
~/.continue/.migrations/,state,Continue listing,REGENERATE,optional,high,Migration state directory.
~/.aider/analytics.json,state,Aider section,REGENERATE,optional,high,Telemetry file.
~/.aider/caches/,state,Aider section,REGENERATE,optional,high,Cache directory.
~/.aider/installs.json,state,Aider section,REGENERATE,optional,high,Install metadata can regenerate.
docker CLI missing,state,Appendix missing commands,DROP,important,high,Desktop app installed but docker command absent from PATH.
psql missing,state,Appendix missing commands,KEEP_NOW,important,high,Mismatch with running PostgreSQL service; requires manual PATH or install check.
pg_isready missing,state,Appendix missing commands,KEEP_LATER,optional,high,Related PostgreSQL client tooling missing on PATH.
cargo missing,state,Appendix missing commands,KEEP_LATER,optional,high,Rust toolchain command absent.
rustup missing,state,Appendix missing commands,KEEP_LATER,optional,high,Rust manager absent.
rustc missing,state,Appendix missing commands,KEEP_LATER,optional,high,Rust compiler absent.
go missing,state,Appendix missing commands,KEEP_LATER,optional,high,Go toolchain absent.
bun missing,state,Appendix missing commands,KEEP_LATER,optional,high,Alternative JS runtime absent.
poetry missing,state,Appendix missing commands,KEEP_LATER,optional,high,Python package manager absent.
conda missing,state,Appendix missing commands,DROP,optional,high,Not needed in pyenv-centric setup.
docker-desktop PATH mismatch,state,brew cask plus missing docker command,KEEP_LATER,important,medium,Validate symlink or app install integrity before migration.
postgres client PATH mismatch,state,postgres service started plus missing psql,KEEP_NOW,important,medium,Likely PATH issue or partial install; confirm client binaries location.
codexbar version mismatch,state,/Applications plus brew cask,KEEP_LATER,optional,medium,App shows 0.22 while cask shows 0.19.0.
warp version mismatch,state,/Applications plus brew cask,KEEP_LATER,optional,medium,App and cask version strings differ in format/time.
code launcher identity uncertainty,state,code -> /usr/local/bin/code,KEEP_NOW,important,medium,Binary named code maps to Cursor context, verify expected launcher target.
nano captured interactive bytes,state,Common CLI tools section,KEEP_LATER,optional,low,Source captured terminal control output instead of clean version string.
ssh-keygen version unknown,state,Common CLI tools section,KEEP_LATER,optional,low,Version capture unresolved in source.
mas missing,state,Appendix missing commands,KEEP_LATER,optional,high,Needed only for Mac App Store inventory automation.
orbstack missing,state,Appendix missing commands,DROP,optional,high,Alternative container stack not currently installed.
podman missing,state,Appendix missing commands,DROP,optional,high,Alternative container stack not currently installed.
colima missing,state,Appendix missing commands,DROP,optional,high,Alternative container stack not currently installed.
SIP enabled,state,csrutil status,KEEP_NOW,important,high,Security baseline state.
FileVault Off,state,fdesetup status,KEEP_NOW,important,high,Manual security decision point for migration hardening.
